Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Status
hbr-985-auto-apex-slvr,Hanboro Apex Racer – Double Balance Wheel F1-Inspired Timepiece (Polished Steel Edition),"<p>Hanboro Apex Racer – Double Balance Wheel F1-Inspired Timepiece
Performance. Power. Prestige.

The Apex Racer is a mechanical beast—crafted not just to tell time, but to command it. Its bold, multi-layered steel case is sculpted with diamond-knife precision, wrapped around a skeletonized dial that exposes a twin flywheel movement built for visual drama and raw performance.

At its heart lies a 45-jewel engine, tuned for flawless execution and uncompromising precision. Every rotation, every gear is a statement—of craftsmanship, of complexity, of power in motion. Luminous numerals ignite the display, while the race-inspired silicone strap ensures comfort at high speed.

This isn’t just a timepiece. It’s a fusion of motorsport adrenaline and haute horology.
Crafted for the fearless. Worn by those who live fast, dream big, and own every second.</p><p><strong>Movement:</strong> Shanghai JHLS33-1 mechanical movement ""Thickness: 7.0mm
45 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading
Double Flying Wheel</p><p><strong>Water Resistance:</strong> 7/50M</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-985-AUTO-APEX-slvr",TRUE,Title,Default Title,HBR-985-AUTO-APEX-slvr,250,shopify,10,continue,manual,47999,59999,TRUE,TRUE,HBR-985-AUTO-APEX-slvr,https://hanborowatches.in/transparent/hbr-985-auto-apex-slvr.webp,1,active
hbr-980-auto-orbita-g,Hanboro Orbita – Tourbillon Watch with Planetarium Design (Rose Gold Edition),"<p>Hanboro Orbita – Tourbillon Watch with Planetarium Design
A cosmic fusion of mechanics and design.

Featuring a 24-hour rotating globe, luminous starfield, and engraved flywheel, the Hanboro Orbita captures the beauty of the universe in motion. Powered by the Shanghai 2797B mechanical movement with a 42-hour reserve, it showcases a visible tourbillon through a skeleton dial and exhibition caseback.

Housed in rose gold 304 stainless steel with a 3D sapphire crystal mirror and paired with a soft silicone strap, it’s bold, brilliant, and built for visionaries</p><p><strong>Movement:</strong> Chinese Liaocheng 2797B Mechanical Movement ""Thickness: 6.8mm
22 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 5 ATM</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-980-AUTO-ORBITA-G",TRUE,Title,Default Title,HBR-980-AUTO-ORBITA-G,250,shopify,10,continue,manual,35999,44999,TRUE,TRUE,HBR-980-AUTO-ORBITA-G,https://hanborowatches.in/catalog/hbr-980-auto-orbita-g-front.png,1,active
hbr-980-auto-orbita-s,Hanboro Orbita – Tourbillon Watch with Planetarium Design (Silver Starfield Edition),"<p>Hanboro Orbita – Tourbillon Watch with Planetarium Design
A cosmic fusion of mechanics and design.

Featuring a 24-hour rotating globe, luminous starfield, and engraved flywheel, the Hanboro Orbita captures the beauty of the universe in motion. Powered by the Shanghai 2797B mechanical movement with a 42-hour reserve, it showcases a visible tourbillon through a skeleton dial and exhibition caseback.

Housed in rose gold 304 stainless steel with a 3D sapphire crystal mirror and paired with a soft silicone strap, it’s bold, brilliant, and built for visionaries</p><p><strong>Movement:</strong> Chinese Liaocheng 2797B Mechanical Movement ""Thickness: 6.8mm
22 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 50M (5 ATM)</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-980-AUTO-ORBITA-S",TRUE,Title,Default Title,HBR-980-AUTO-ORBITA-S,250,shopify,10,continue,manual,35999,44999,TRUE,TRUE,HBR-980-AUTO-ORBITA-S,https://hanborowatches.in/catalog/hbr-980-auto-orbita-s-front.png,1,active
hbr-995-1-auto-g,Hanboro REV-X Ignition – Motorsport Edition Tourbillon Watch (Rose Gold),"<p>Hanboro REV-X Ignition – Motorsport Edition – Tourbillon Watch

Inspired by the raw power of motorsport engineering, the Hanboro REV-X Ignition is a bold expression of modern horology. With its sculpted steel case and futuristic skeleton dial, this timepiece captures the adrenaline of speed and precision.

The rotating carved flywheel, designed in the shape of Earth, reveals the heartbeat of the machine—glowing vividly in the dark, ready to ignite attention wherever it goes. Every detail, from the transparent back to the signature cut crystal mirror, is crafted to thrill.

A true statement piece for those who live fast, think sharp, and never blend in.</p><p><strong>Movement:</strong> Shanghai 2797B hollow mechanical movement
Frequency: 21,600 vibrations/hour
Power Reserve: 42 hours
Automatic/manual winding</p><p><strong>Water Resistance:</strong> 5 ATM</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-995-1-AUTO-G",TRUE,Title,Default Title,HBR-995-1-AUTO-G,250,shopify,10,continue,manual,35999,44999,TRUE,TRUE,HBR-995-1-AUTO-G,https://hanborowatches.in/catalog/hbr-995-1-auto-g-front.png,1,active
hbr-995-1-auto-s,Hanboro REV-X Ignition – Motorsport Edition Tourbillon Watch (Silver),"<p>Hanboro REV-X Ignition – Motorsport Edition – Tourbillon Watch

Inspired by the raw power of motorsport engineering, the Hanboro REV-X Ignition is a bold expression of modern horology. With its sculpted steel case and futuristic skeleton dial, this timepiece captures the adrenaline of speed and precision.

The rotating carved flywheel, designed in the shape of Earth, reveals the heartbeat of the machine—glowing vividly in the dark, ready to ignite attention wherever it goes. Every detail, from the transparent back to the signature cut crystal mirror, is crafted to thrill.

A true statement piece for those who live fast, think sharp, and never blend in.</p><p><strong>Movement:</strong> Shanghai 2797B hollow mechanical movement
Frequency: 21,600 vibrations/hour
Power Reserve: 42 hours
Automatic/manual winding</p><p><strong>Water Resistance:</strong> 50M (5 ATM)</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-995-1-AUTO-S",TRUE,Title,Default Title,HBR-995-1-AUTO-S,250,shopify,10,continue,manual,35999,44999,TRUE,TRUE,HBR-995-1-AUTO-S,https://hanborowatches.in/catalog/hbr-995-1-auto-s-front.png,1,active
hbr-927-slv-blk,Hanboro FaceShift Series – FaceShift Automatic (Silver & Black),"<p>Hanboro FaceShift Series – FaceShift Automatic
“Six faces. One bold identity.”

A mechanical tribute to transformation and legacy, this timepiece features six rotating face masks, each appearing every four hours. Every face tells a story—power, wisdom, rebellion, honor, fearlessness, and clarity—capturing the many dimensions of identity.

The fan-shaped crystal bezel draws from traditional art forms, and in every box, you’ll find a handcrafted ceremonial fan, symbolizing elegance and heritage. Paired with luminous accents, exposed mechanics, and a bold silhouette, this watch is designed for those who wear their story with pride.</p><p><strong>Movement:</strong> Japanese CITIZEN 8215 mechanical movement ""Thickness: 5.67mm
21 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 50M (5 ATM)</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-927-SLV-BLK",TRUE,Title,Default Title,HBR-927-SLV-BLK,250,shopify,10,continue,manual,42399,52999,TRUE,TRUE,HBR-927-SLV-BLK,https://hanborowatches.in/catalog/hbr-927-slv-blk-front.png,1,active
hbr-927-rg-blk,Hanboro FaceShift Series – FaceShift Automatic (Rose Gold & Black),"<p>Hanboro FaceShift Series – FaceShift Automatic
“Six faces. One bold identity.”

A mechanical tribute to transformation and legacy, this timepiece features six rotating face masks, each appearing every four hours. Every face tells a story—power, wisdom, rebellion, honor, fearlessness, and clarity—capturing the many dimensions of identity.

The fan-shaped crystal bezel draws from traditional art forms, and in every box, you’ll find a handcrafted ceremonial fan, symbolizing elegance and heritage. Paired with luminous accents, exposed mechanics, and a bold silhouette, this watch is designed for those who wear their story with pride.</p><p><strong>Movement:</strong> Japanese CITIZEN 8215 mechanical movement ""Thickness: 5.67mm
21 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 5 ATM</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-927-RG-BLK",TRUE,Title,Default Title,HBR-927-RG-BLK,250,shopify,10,continue,manual,42399,52999,TRUE,TRUE,HBR-927-RG-BLK,https://hanborowatches.in/catalog/hbr-927-rg-blk-front.png,1,active
hbr-30027-1-auto-gear-slv-blk,Gear Rider – Skeleton Tourbillon Masterpiece (Silver & Black),"<p>Gear Rider – Skeleton Tourbillon Masterpiece
Where timeless elegance meets mechanical brilliance.

The Gear Rider is a tribute to refined engineering—an openworked marvel that exposes the poetry of movement beneath its sapphire-clear surface. With its sculpted steel case and intricate dial, every element reflects the craftsmanship of a watch built not just to tell time, but to embody it.

At the center, a skeletonized flywheel pulses with precision, framed by a dial that balances complexity with clarity. Its luxurious finish, seamless contours, and commanding presence on the wrist make it a true statement of power and taste.

This is more than a timepiece. This is the signature of those who understand legacy, and wear it with quiet authority.</p><p><strong>Movement:</strong> Chinese Liaocheng 2797B Mechanical Movement ""Thickness: 6.8mm
22 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 6/50M</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-30027-1-AUTO-GEAR-SLV-BLK",TRUE,Title,Default Title,HBR-30027-1-AUTO-GEAR-SLV-BLK,250,shopify,10,continue,manual,29599,36999,TRUE,TRUE,HBR-30027-1-AUTO-GEAR-SLV-BLK,https://hanborowatches.in/catalog/hbr-30027-1-auto-gear-slv-blk-front.png,1,active
hbr-30027-1-auto-gear-gld-blk,Gear Rider – Skeleton Tourbillon Masterpiece (Gold & Black),"<p>Gear Rider – Skeleton Tourbillon Masterpiece
Where timeless elegance meets mechanical brilliance.

The Gear Rider is a tribute to refined engineering—an openworked marvel that exposes the poetry of movement beneath its sapphire-clear surface. With its sculpted steel case and intricate dial, every element reflects the craftsmanship of a watch built not just to tell time, but to embody it.

At the center, a skeletonized flywheel pulses with precision, framed by a dial that balances complexity with clarity. Its luxurious finish, seamless contours, and commanding presence on the wrist make it a true statement of power and taste.

This is more than a timepiece. This is the signature of those who understand legacy, and wear it with quiet authority.</p><p><strong>Movement:</strong> Chinese Liaocheng 2797B Mechanical Movement ""Thickness: 6.8mm
22 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 50M (5 ATM)</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-30027-1-AUTO-GEAR-GLD-BLK",TRUE,Title,Default Title,HBR-30027-1-AUTO-GEAR-GLD-BLK,250,shopify,10,continue,manual,29599,36999,TRUE,TRUE,HBR-30027-1-AUTO-GEAR-GLD-BLK,https://hanborowatches.in/catalog/hbr-30027-1-auto-gear-gld-blk-front.png,1,active
hbr-30027-1-auto-gear-blk,Gear Rider – Skeleton Tourbillon Masterpiece (Midnight Black),"<p>Gear Rider – Skeleton Tourbillon Masterpiece
Where timeless elegance meets mechanical brilliance.

The Gear Rider is a tribute to refined engineering—an openworked marvel that exposes the poetry of movement beneath its sapphire-clear surface. With its sculpted steel case and intricate dial, every element reflects the craftsmanship of a watch built not just to tell time, but to embody it.

At the center, a skeletonized flywheel pulses with precision, framed by a dial that balances complexity with clarity. Its luxurious finish, seamless contours, and commanding presence on the wrist make it a true statement of power and taste.

This is more than a timepiece. This is the signature of those who understand legacy, and wear it with quiet authority.</p><p><strong>Movement:</strong> Chinese Liaocheng 2797B Mechanical Movement ""Thickness: 6.8mm
22 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 50M (5 ATM)</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-30027-1-AUTO-GEAR-blk",TRUE,Title,Default Title,HBR-30027-1-AUTO-GEAR-blk,250,shopify,10,continue,manual,29599,36999,TRUE,TRUE,HBR-30027-1-AUTO-GEAR-blk,https://hanborowatches.in/catalog/hbr-30027-1-auto-gear-blk-front.png,1,active
